"number","title","pageid","namespace","length","touched"
"1","Artificial_intelligence","1164","","183045","20170310213040"
"2","Association_for_Computing_Machinery","2928","","24885","20170306072710"
"3","Software","5309","","25795","20170308163700"
"4","Computer_science","5323","","60215","20170310213122"
"5","Computational_linguistics","5561","","36217","20170311001540"
"6","Computer_program","5783","","29116","20170310174429"
"7","Computational_chemistry","6019","","35249","20170306073636"
"8","P_versus_NP_problem","6115","","56145","20170306073636"
"9","Chaos_theory","6295","","77311","20170308054427"
"10","List_of_computer_scientists","6834","","37335","20170309230428"
"11","Church–Turing_thesis","6854","","48160","20170306073819"
"12","Computational_complexity_theory","7543","","44697","20170306074303"
"13","Fractal","10913","","57932","20170311001544"
"14","Geographic_information_system","12398","","67711","20170310213202"
"15","Integer_factorization","15491","","21165","20170306080129"
"16","Jon_Postel","15767","","13434","20170306080507"
"17","John_von_Neumann_Theory_Prize","16461","","5385","20170306080525"
"18","Knowledge_Systems_Laboratory","17232","","1193","20170120131614"
"19","Nevanlinna_Prize","21459","","3161","20170306082127"
"20","Natural_language_processing","21652","","25897","20170309025839"
"21","Timeline_of_programming_languages","23696","","40670","20170307131536"
"22","Programmer","23716","","18137","20170217150957"
"23","RFPolicy","26369","","1448","20170120131618"
"24","Software_Engineering_Body_of_Knowledge","28878","","4567","20170306084142"
"25","SIGGRAPH","29279","","16080","20170306084248"
"26","Turing_Award","31093","","24889","20170306084510"
"27","Phonetic_algorithm","36712","","3779","20170120131618"
"28","Convex_hull","40634","","17392","20170217153123"
"29","Degree_of_isochronous_distortion","41009","","763","20170120131626"
"30","Identity_map_pattern","46955","","1228","20170306091950"
"31","Computer_engineering","50408","","17679","20170310163554"
"32","Cellular_automaton","54342","","59520","20170306093739"
"33","John_Mathieson_(computer_scientist)","58072","","1267","20170228220430"
"34","A_New_Kind_of_Science","93070","","38170","20170310184256"
"35","Shotgun_debugging","101415","","1328","20170306204931"
"36","Computational_physics","106418","","11877","20170306114447"
"37","Pattern_recognition","126706","","31553","20170310211628"
"38","FOSSIL","142583","","3306","20170120131825"
