"number","title","pageid","namespace","length","touched"
"1","Allegory","1837","","19962","20170306072114"
"2","Blindness_in_literature","3600","","5761","20161230145552"
"3","Bildungsroman","4880","","25262","20170306073033"
"4","Continuity_(fiction)","5899","","15795","20170217144932"
"5","Cut-up_technique","6347","","11273","20170306073646"
"6","Detective_fiction","8192","","44997","20170307030829"
"7","Dyslexia","8305","","71524","20170306231126"
"8","Epistolary_novel","10011","","24672","20170307074639"
"9","E-Prime","10224","","27930","20170306112735"
"10","Formula_fiction","10600","","4180","20170306074806"
"11","False_document","11429","","28410","20170306074917"
"12","Free_verse","11478","","10674","20170224135511"
"13","Fable","11491","","19791","20170310000140"
"14","Incremental_reading","14891","","3976","20161230145712"
"15","Letter_game","17634","","1372","20170119144739"
"16","List_of_literary_cycles","17964","","1971","20170309010027"
"17","Latin_literature","18058","","18569","20170306115630"
"18","Outline_of_literature","18345","","9325","20170310000204"
"19","Literacy","18456","","113249","20170308120109"
"20","Mind_map","19688","","16137","20170310150941"
"21","New_Latin","21983","","41491","20170310064923"
"22","Poetry","22926","","85817","20170311025312"
"23","Proverb","23529","","101387","20170310213354"
"24","Postscript","24478","","3591","20170306082833"
"25","Political_fiction","24850","","18134","20170310213354"
"26","Rhetoric","25447","","111843","20170311002055"
"27","Romanticism","26094","","120096","20170311002055"
"28","Redshirt_(character)","26429","","8231","20170306083746"
"29","Satire","26791","","107485","20170311015559"
"30","List_of_science_fiction_themes","27753","","11165","20170310145616"
"31","Simile","28860","","4542","20170307222230"
"32","Inklings","30428","","11392","20170301170102"
"33","Western_canon","32923","","68319","20170310213432"
"34","Wuxia","33284","","42428","20170306085044"
"35","Writers_of_the_Future","33432","","13597","20170310192257"
"36","William_Ashbless","33907","","3721","20170120131618"
"37","Suspension_of_disbelief","38243","","20993","20170306085750"
"38","Lyrics","38518","","11327","20170309010027"
"39","Bloomsbury_Group","41938","","27718","20170310213505"
"40","Historical_fiction","42142","","56499","20170306090429"
"41","Whole_language","42324","","32954","20170306231126"
"42","Fairy_tale","43494","","61493","20170310184754"
"43","Genre","44706","","26042","20170310000140"
"44","Polish_literature","45387","","43133","20170306091810"
"45","Reading_education_in_the_United_States","49783","","44999","20170309010027"
"46","Greek_literature","52682","","14832","20170311003548"
"47","Oulipo","53705","","12303","20170306093736"
"48","Archetype","53917","","7924","20170306093736"
"49","Legend","53974","","13445","20170306153245"
"50","Tragedy","57993","","47887","20170310000140"
